Ax,Ay,Az,pitch,roll,label
0.0,0.0,0.0,0.0,0.0,0
-1.929477,-7.178314,6.753614,172.5304,11.12606,1
-1.906321,-7.028902,6.719819,172.2532,11.09635,1
-1.82691,-6.957431,6.673661,172.1514,10.60828,1
-1.785509,-6.950338,6.644165,172.1709,10.44932,1
-1.821846,-7.063486,6.719391,172.3311,10.6064,1
-1.742944,-7.152825,6.748971,172.4865,9.873709,1
-1.732196,-7.132065,6.733023,172.4616,10.00398,1
-1.797744,-7.092757,6.759562,172.3493,10.52423,1
-1.833883,-7.084725,6.784153,172.3049,10.65364,1
-1.828553,-7.194048,6.854944,172.4564,10.37311,1
-1.82722,-7.327322,6.942672,172.6326,10.20625,1
-1.828683,-7.457606,6.962809,172.8638,10.12876,1
-1.838026,-7.452468,6.976821,172.8416,10.22161,1
-1.825997,-7.42784,6.824103,172.9514,10.27943,1
-1.833764,-7.278031,6.846975,172.6337,10.44496,1
-1.815953,-7.220827,6.771889,172.6014,10.3934,1
-1.807909,-7.127517,6.742344,172.4411,10.45616,1
-1.857972,-7.048524,6.693657,172.3285,10.94919,1
-1.909992,-7.071872,6.659938,172.417,11.22422,1
-1.899654,-7.167492,6.755656,172.5106,10.84874,1
-1.879113,-7.232697,6.829864,172.5638,10.62467,1
-1.917073,-7.240019,6.843029,172.5648,10.95759,1
-1.828828,-7.072169,6.76993,172.2915,10.45073,1
-1.836267,-7.005957,6.68978,172.2406,10.78528,1
-1.836331,-6.982221,6.723612,172.1498,10.72509,1
-1.83096,-7.028361,6.755414,172.2151,10.60757,1
-1.838596,-7.162001,6.772342,172.4788,10.54224,1
-1.851279,-7.295967,6.731683,172.7914,10.56255,1
-1.963984,-7.36178,6.770001,172.881,11.28963,1
-1.959839,-7.329751,6.793945,172.7948,11.0898,1
-1.834903,-7.325335,6.728106,172.8555,10.23637,1
-1.956299,-7.18417,6.779881,172.5157,11.45283,1
-1.91123,-7.091418,6.724589,172.3847,11.0192,1
-1.883803,-7.175969,6.75925,172.5234,10.73681,1
-1.864376,-7.243793,6.76971,172.6502,10.59373,1
-1.852337,-7.21945,6.765142,172.6066,10.58907,1
-1.847531,-7.164882,6.796322,172.4603,10.59387,1
-1.889426,-7.104552,6.784365,172.3467,10.98449,1
-1.80473,-7.168479,6.770602,172.4957,10.20057,1
-1.838416,-7.208208,6.792337,172.5534,10.49213,1
-1.820708,-7.217736,6.808508,172.5561,10.35882,1
-1.853989,-7.159066,6.792799,172.4523,10.7208,1
-1.892836,-7.128238,6.736797,172.4501,11.01835,1
-1.861247,-7.149261,6.654562,172.5843,10.74406,1
-1.883876,-7.150926,6.781247,172.4485,10.83271,1
-1.905694,-7.153137,6.802144,172.4302,10.962,1
-1.936288,-7.133938,6.760681,172.4359,11.21791,1
-1.951119,-7.233286,6.77725,172.6208,11.13265,1
-1.872227,-7.261714,6.80294,172.651,10.49636,1
-1.845321,-7.135943,6.757289,172.4418,10.62721,1
-1.919064,-6.957926,6.756042,172.0573,11.21685,1
-1.905513,-7.09591,6.840734,172.264,10.85992,1
-1.938038,-7.30997,6.908594,172.6304,10.89464,1
-1.897687,-7.437107,6.909398,172.8784,10.48365,1
-1.982769,-7.319852,6.929351,172.6309,11.30984,1
