,time_stamps,x_accel,y_accel,z_accel,pitch,roll
0,1884052.155883067,8.337934,5.007545,-2.340121,-5.259484,-56.46436
1,1884052.171674013,8.30873,5.051653,-2.345698,-5.182658,-56.13163
2,1884052.1874649588,8.415705,4.918158,-2.318243,-5.397485,-57.24221
3,1884052.2032559046,8.353139,5.051333,-2.324117,-5.136223,-56.2627
4,1884052.2190468505,8.344728,4.939673,-2.423824,-5.596221,-56.62706
5,1884052.2348377963,8.287862,4.928508,-2.395009,-5.553858,-56.52082
6,1884052.2506287422,8.396379,4.871367,-2.361961,-5.602137,-57.25972
7,1884052.266419688,8.372754,4.900129,-2.395287,-5.615904,-56.88889
8,1884052.2822106339,8.361773,4.881458,-2.452489,-5.79265,-56.834
9,1884052.2980015797,8.425318,4.903293,-2.384947,-5.58399,-57.11773
10,1884052.3137925256,8.345482,5.075704,-2.35449,-5.155484,-56.05643
11,1884052.3295834714,8.341807,5.032611,-2.278182,-5.071154,-56.52227
12,1884052.3453744173,8.350059,5.036921,-2.33304,-5.183683,-56.37321
13,1884052.361165363,8.385361,4.957625,-2.370847,-5.433834,-56.8027
14,1884052.376956309,8.337175,4.938922,-2.411259,-5.567302,-56.58858
15,1884052.3927472548,8.312964,5.006004,-2.329109,-5.239393,-56.38616
16,1884052.4085382007,8.301924,5.075201,-2.430788,-5.320548,-55.80963
17,1884052.4243291465,8.285736,5.015323,-2.341836,-5.247979,-56.29893
18,1884052.4401200924,8.299201,5.01149,-2.356643,-5.288953,-56.28863
19,1884052.4559110382,8.3695,4.905522,-2.261159,-5.291683,-57.25981
20,1884052.471701984,8.389459,4.957414,-2.299016,-5.269779,-56.89474
21,1884052.48749293,8.387146,4.956139,-2.339433,-5.364672,-56.82824
22,1884052.5032838758,8.313652,5.031429,-2.403808,-5.352017,-56.07273
23,1884052.5190748216,8.27398,5.036803,-2.423174,-5.384345,-55.93836
24,1884052.5348657675,8.265703,4.953304,-2.386325,-5.480064,-56.41484
25,1884052.5506567133,8.262721,4.981586,-2.294294,-5.211587,-56.43085
26,1884052.5664476592,8.335686,4.939163,-2.29802,-5.306893,-56.87957
27,1884052.582238605,8.274029,4.962933,-2.311321,-5.288335,-56.47185
28,1884052.5980295509,8.274327,5.012715,-2.325579,-5.217659,-56.23641
29,1884052.6138204967,8.300215,4.968133,-2.294684,-5.239244,-56.64016
30,1884052.6296114426,8.283411,4.972294,-2.382095,-5.428977,-56.32413
31,1884052.6454023884,8.292504,4.93177,-2.332657,-5.402771,-56.6934
32,1884052.6611933343,8.291259,4.944955,-2.366499,-5.452136,-56.51333
33,1884052.67698428,8.465672,4.922571,-2.54873,-5.918506,-56.80978
34,1884052.692775226,8.577923,5.056084,-2.622978,-5.776737,-56.37462
35,1884052.7085661718,8.761531,5.306462,-2.714439,-5.435274,-55.70357
36,1884052.7243571177,7.941681,5.587918,-3.089898,-5.592435,-50.66821
