,time_stamps,x_accel,y_accel,z_accel,pitch,roll
0,1883359.7455772066,2.423659,-9.385818,-1.303109,-179.1528,-14.34158
1,1883359.761601454,2.31742,-9.368087,-1.087034,-179.2906,-13.74442
2,1883359.7776257019,2.22276,-9.314598,-0.9619968,-179.365,-13.30223
3,1883359.7936499494,2.232687,-9.341572,-0.8826949,-179.4206,-13.38779
4,1883359.8096741969,2.171191,-9.305484,-0.8489074,-179.4385,-13.04715
5,1883359.8256984444,2.014207,-9.390221,-0.959732,-179.3767,-11.93127
6,1883359.8417226921,1.918781,-9.403004,-1.037613,-179.3278,-11.40125
7,1883359.8577469396,1.831667,-9.331019,-1.181152,-179.2228,-10.97003
8,1883359.8737711872,1.760467,-9.194533,-1.229982,-179.1664,-10.71468
9,1883359.8897954347,1.643453,-9.008503,-1.101269,-179.2229,-10.2092
10,1883359.9058196824,1.83861,-9.030841,-1.079779,-179.2416,-11.55695
11,1883359.92184393,1.881829,-9.020145,-1.081939,-179.2383,-11.73324
12,1883359.9378681774,2.080081,-9.297044,-0.9464039,-179.372,-12.63917
13,1883359.953892425,2.056811,-9.553141,-0.6398001,-179.5971,-12.07722
14,1883359.9699166727,2.222557,-9.731738,-0.3785781,-179.7702,-12.93418
15,1883359.9859409202,2.736886,-9.700039,-0.3632298,-179.7788,-16.06365
16,1883360.0019651677,3.936817,-10.25496,0.3278351,143.8262,-21.51535
17,1883360.0179894152,3.552591,-11.44171,1.59931,175.7129,-16.69377
18,1883360.034013663,2.992712,-11.40739,2.29532,178.6309,-14.12211
19,1883360.0500379105,2.766496,-10.54636,2.065406,178.9004,-14.43756
20,1883360.066062158,3.519596,-9.481986,1.587756,178.9882,-20.79405
21,1883360.0820864055,3.711264,-8.742043,1.031462,179.2327,-23.18755
22,1883360.0981106532,3.924361,-8.976183,0.8465458,179.3982,-23.5923
23,1883360.1141349007,3.893956,-9.45641,0.9271741,179.4065,-22.15349
24,1883360.1301591482,3.617259,-10.14871,1.204585,179.3318,-19.1984
25,1883360.1461833958,3.223276,-10.25242,1.708532,179.07,-16.97717
26,1883360.1622076435,3.229128,-9.862001,2.103692,178.7591,-17.81466
27,1883360.178231891,3.223248,-9.327359,2.606486,178.2791,-18.47952
28,1883360.1942561385,3.125695,-8.987309,2.857161,177.9724,-18.32798
29,1883360.210280386,3.103012,-8.968389,3.017979,177.8521,-18.13516
30,1883360.2263046338,3.038254,-9.253081,3.08793,177.9352,-17.20756
31,1883360.2423288813,2.831384,-9.749138,2.89884,178.2508,-15.36832
32,1883360.2583531288,2.726661,-10.04654,2.504999,178.5766,-14.66384
33,1883360.2743773763,2.662319,-10.02672,2.299697,178.6899,-14.48234
34,1883360.290401624,2.632182,-9.690751,2.164963,178.6799,-14.88551
35,1883360.3064258716,2.652871,-9.35333,2.054525,178.6552,-15.55748
36,1883360.322450119,2.659249,-9.097645,2.149065,178.5125,-15.92436
37,1883360.3384743668,2.670661,-8.929861,2.270568,178.3691,-16.19593
38,1883360.3544986143,2.626552,-8.876451,2.403386,178.2534,-15.91505
39,1883360.3705228618,2.624296,-8.812931,2.569657,178.1056,-15.955
40,1883360.3865471093,2.615451,-8.853985,2.612142,178.0924,-15.80383
41,1883360.402571357,2.605947,-8.896876,2.579759,178.134,-15.70044
42,1883360.4185956046,2.583449,-8.959345,2.58083,178.1592,-15.46243
43,1883360.434619852,2.62645,-9.049627,2.596021,178.1851,-15.59885
44,1883360.4506440996,2.639369,-9.136228,2.694505,178.1519,-15.47652
45,1883360.4666683474,2.65359,-9.226769,2.682806,178.1957,-15.43255
46,1883360.4826925949,2.646393,-9.334945,2.468313,178.3777,-15.31409
47,1883360.4987168424,2.665066,-9.393167,2.304647,178.5041,-15.41404
48,1883360.51474109,2.587206,-9.465787,2.105124,178.6543,-14.88648
49,1883360.5307653376,2.635445,-9.438573,2.033458,178.6929,-15.30401
50,1883360.5467895851,2.588554,-9.403529,1.972421,178.7227,-15.05697
51,1883360.5628138327,2.555852,-9.46036,1.94908,178.7528,-14.79274
52,1883360.5788380802,2.451308,-9.388471,2.15145,178.602,-14.21765
53,1883360.594862328,2.384829,-9.189505,2.33545,178.4155,-14.0996
54,1883360.6108865754,2.34155,-9.191156,2.338767,178.4146,-13.84084
55,1883360.626910823,2.233792,-9.227953,2.12793,178.5688,-13.20525
56,1883360.6429350704,2.391089,-9.251026,1.893522,178.7328,-14.31312
57,1883360.6589593182,2.333556,-9.322286,1.695545,178.8824,-13.79357
58,1883360.6749835657,2.370899,-9.359579,1.578782,178.9677,-14.04541
59,1883360.6910078132,2.45867,-9.503369,1.334389,179.1532,-14.40744
60,1883360.7070320607,2.557947,-9.657808,1.059995,179.3484,-14.7907
61,1883360.7230563085,2.598042,-9.712039,0.9916146,179.3978,-14.91916
62,1883360.739080556,2.895102,-9.723927,0.9158237,179.4453,-16.68774
63,1883360.7551048035,2.989451,-9.869486,0.6776829,179.6011,-16.84668
64,1883360.771129051,2.899766,-10.04996,0.03544658,-144.0216,-16.01185
65,1883360.7871532987,2.880024,-9.783576,-0.01369359,-176.3918,-16.43823
66,1883360.8031775462,2.783239,-9.382006,0.06111931,144.3198,-16.53694
67,1883360.8192017938,2.784335,-9.03156,0.07721972,176.3816,-17.20388
68,1883360.8352260413,2.920196,-9.00729,0.02280544,179.6275,-18.05475
69,1883360.851250289,3.093235,-8.966077,-0.002029019,-144.0342,-19.15288
70,1883360.8672745365,3.220433,-9.190361,-0.04976287,-176.37,-19.34077
71,1883360.883298784,3.11895,-9.585567,-0.04376235,-179.613,-17.88602
72,1883360.8993230318,2.981669,-10.02372,-0.3060457,-179.791,-16.40159
73,1883360.9153472793,2.862357,-10.28086,-0.5348234,-179.7074,-15.42692
74,1883360.9313715268,2.962474,-10.48973,-0.6503568,-179.6614,-15.76385
75,1883360.9473957743,2.912152,-10.37918,-0.8278283,-179.5596,-15.61234
76,1883360.963420022,2.779988,-10.06214,-0.8994451,-179.4907,-15.35843
77,1883360.9794442696,2.764616,-9.825734,-1.053132,-179.3746,-15.65703
78,1883360.995468517,2.793246,-9.455174,-1.191323,-179.2357,-16.41704
79,1883361.0114927646,2.755168,-9.14877,-1.312881,-179.1007,-16.62913
80,1883361.0275170123,2.675943,-9.113821,-1.219453,-179.1592,-16.18419
81,1883361.0435412598,2.57321,-9.243921,-1.119609,-179.2494,-15.3623
82,1883361.0595655073,2.489675,-9.353897,-0.9997309,-179.3453,-14.75491
83,1883361.0755897549,2.558893,-9.349812,-0.9468022,-179.3797,-15.27713
84,1883361.0916140026,2.630458,-9.401117,-0.7971391,-179.4833,-15.61663
85,1883361.10763825,2.641925,-9.447189,-0.5537658,-179.6445,-15.59984
86,1883361.1236624976,2.696941,-9.531524,-0.4087607,-179.7421,-15.80538
87,1883361.1396867451,2.67443,-9.440837,-0.2779021,-179.8216,-15.81266
88,1883361.1557109929,2.665715,-9.360661,-0.1743153,-179.8862,-15.90241
89,1883361.1717352404,2.845845,-9.231974,-0.2458384,-179.8347,-17.26479
90,1883361.187759488,2.878942,-9.372096,-0.3003959,-179.8042,-17.0613
91,1883361.2037837354,2.860703,-9.564955,-0.09252826,-179.9415,-16.60426
92,1883361.2198079831,2.852415,-9.827731,0.07693843,143.955,-16.13382
93,1883361.2358322307,2.939932,-9.744114,0.1348259,176.3187,-16.85516
94,1883361.2518564782,2.989625,-9.546132,0.06519735,179.5992,-17.457
95,1883361.2678807257,3.050618,-9.483238,0.07762753,179.9146,-17.88107
96,1883361.2839049734,2.942514,-9.339044,0.025001,179.9801,-17.44945
97,1883361.299929221,2.823965,-9.26429,-0.03413118,-143.9775,-16.89197
98,1883361.3159534684,2.730228,-9.235266,-0.1693313,-176.2863,-16.41218
99,1883361.331977716,2.837213,-9.297008,-0.1031244,-179.5716,-17.02518
100,1883361.3480019637,2.794042,-9.283789,-0.03401504,-179.9414,-16.72494
101,1883361.3640262112,2.826356,-9.461314,0.1668262,143.8974,-16.61644
102,1883361.3800504587,2.933017,-9.569568,0.4002337,176.1505,-17.06872
103,1883361.3960747065,2.799313,-9.681666,0.5162301,179.3248,-16.00313
104,1883361.412098954,2.6545,-9.850176,0.6678905,179.5701,-14.93345
105,1883361.4281232015,2.728365,-10.02433,1.036441,179.4065,-15.15832
106,1883361.444147449,2.526738,-10.03528,0.9418541,179.464,-13.95292
107,1883361.4601716967,2.452706,-10.07947,0.8483589,179.5216,-13.58076
108,1883361.4761959442,2.613375,-9.924433,0.9338198,179.4568,-14.80964
109,1883361.4922201918,2.741491,-9.626652,1.19663,179.2592,-15.90388
110,1883361.5082444393,2.771541,-9.366314,1.640939,178.9267,-16.30033
111,1883361.524268687,2.746533,-9.09248,2.155112,178.5045,-16.39053
112,1883361.5402929345,2.614746,-8.897023,2.54483,178.1575,-15.70838
113,1883361.556317182,2.42272,-8.692165,2.816518,177.8643,-14.74425
114,1883361.5723414295,2.276386,-8.406643,2.968664,177.5936,-14.26245
115,1883361.5883656773,2.149704,-8.365162,3.011891,177.5359,-13.51079
116,1883361.6043899248,2.014213,-8.498919,2.880463,177.7164,-12.5464
117,1883361.6204141723,1.774412,-8.923858,2.679854,178.0698,-10.58082
118,1883361.6364384198,1.685788,-9.313272,2.679186,178.2296,-9.77049
119,1883361.6524626676,1.758808,-9.47719,2.692048,178.2832,-10.14951
120,1883361.668486915,1.981588,-9.459105,2.546809,178.3699,-11.58189
121,1883361.6845111626,2.333547,-9.577965,2.398689,178.5023,-13.50029
122,1883361.70053541,2.532506,-10.05313,1.771919,178.9911,-13.99698
123,1883361.7165596578,2.681689,-10.3506,0.9809254,179.4722,-14.51524
124,1883361.7325839053,2.636274,-10.58074,0.3071064,179.8408,-13.92952
125,1883361.7486081528,2.569243,-10.49386,-0.1783032,-143.907,-13.72781
126,1883361.7646324004,2.640113,-10.24815,-0.3173449,-176.2265,-14.51731
127,1883361.780656648,2.716153,-9.689191,0.1083263,144.2908,-15.8003
128,1883361.7966808956,2.736685,-9.096754,0.648648,175.9812,-16.8231
129,1883361.8127051431,2.773215,-8.789711,0.9547895,178.9333,-17.49465
130,1883361.8287293906,2.671284,-8.771935,1.205191,179.0671,-16.7176
131,1883361.8447536384,2.536113,-8.949005,1.178517,179.1534,-15.574
132,1883361.860777886,2.373916,-9.261917,1.126289,179.2471,-14.12204
133,1883361.8768021334,2.267196,-9.635818,1.006863,179.3778,-13.05254
134,1883361.892826381,2.267298,-9.757245,0.8117641,179.5111,-13.02327
135,1883361.9088506286,2.288856,-9.646565,0.7211465,179.5562,-13.34275
136,1883361.9248748762,2.366429,-9.557925,0.6215839,179.6104,-13.94126
137,1883361.9408991237,2.367722,-9.493037,0.6310207,179.5989,-13.98603
138,1883361.9569233714,2.32691,-9.424059,0.6664409,179.5702,-13.82079
139,1883361.972947619,2.273269,-9.38053,0.5773273,179.6242,-13.57084
140,1883361.9889718664,2.183869,-9.479608,0.5964281,179.6198,-12.87696
141,1883362.004996114,2.034868,-9.549849,0.5703259,179.6417,-11.90374
142,1883362.0210203617,1.864823,-9.625826,0.3005229,179.8139,-10.84227
143,1883362.0370446092,1.731461,-9.605411,0.2326017,179.8556,-10.13233
144,1883362.0530688567,1.724589,-9.700335,0.2150357,179.869,-10.06362
145,1883362.0690931042,1.631246,-9.796019,0.2520652,179.8496,-9.382036
146,1883362.085117352,1.682245,-9.911171,0.415222,179.7581,-9.64373
147,1883362.1011415995,1.777846,-9.931306,0.4229185,179.7544,-10.1973
148,1883362.117165847,1.884372,-10.00012,0.4538551,179.74,-10.71794
149,1883362.1331900945,1.976906,-9.931581,0.4569488,179.7346,-11.31153
150,1883362.1492143422,1.97754,-9.89887,0.4680321,179.7264,-11.28957
151,1883362.1652385897,1.953901,-9.88698,0.4497474,179.7365,-11.15461
152,1883362.1812628373,1.856727,-9.806064,0.4349902,179.7409,-10.66019
153,1883362.1972870848,1.823307,-9.817366,0.3968832,179.7641,-10.49078
154,1883362.2133113325,1.794107,-9.835733,0.3435125,179.7966,-10.31118
155,1883362.22933558,1.748092,-9.863428,0.3166276,179.8135,-10.01333
156,1883362.2453598275,1.758574,-9.93084,0.3225583,179.8126,-10.03585
157,1883362.261384075,1.746693,-9.926807,0.3705565,179.7846,-9.9655
158,1883362.2774083228,1.713183,-10.02552,0.3451894,179.8032,-9.660597
159,1883362.2934325703,1.679665,-9.944895,0.3146405,179.8177,-9.569622
160,1883362.3094568178,1.700016,-9.930368,0.2167753,179.8741,-9.726677
161,1883362.3254810653,1.652491,-9.847034,0.2091435,179.8764,-9.503187
162,1883362.341505313,1.613262,-9.735271,0.2385473,179.8557,-9.393107
163,1883362.3575295606,1.596411,-9.711165,0.2393329,179.8546,-9.324298
164,1883362.373553808,1.532237,-9.715219,0.2264827,179.8625,-8.918787
165,1883362.3895780556,1.508581,-9.752256,0.3458655,179.7917,-8.768841
166,1883362.4056023033,1.465275,-9.792591,0.3621133,179.7837,-8.472963
167,1883362.4216265508,1.428623,-9.861269,0.3141781,179.8148,-8.209799
168,1883362.4376507984,1.403409,-9.844434,0.3395516,179.7993,-8.094049
169,1883362.4536750459,1.403043,-9.866453,0.3765654,179.7784,-8.085245
170,1883362.4696992936,1.433173,-9.840643,0.3328616,179.8031,-8.303119
171,1883362.4857235411,1.470663,-9.805739,0.3349556,179.8004,-8.551844
172,1883362.5017477886,1.506733,-9.709593,0.3330102,179.7976,-8.848351
173,1883362.5177720364,1.495257,-9.704288,0.3306609,179.7988,-8.747545
174,1883362.5337962839,1.470407,-9.68652,0.4726415,179.7114,-8.606552
175,1883362.5498205314,1.405433,-9.671814,0.4071126,179.7507,-8.220464
176,1883362.565844779,1.414019,-9.65957,0.4328815,179.7342,-8.326456
177,1883362.5818690266,1.432116,-9.684202,0.4009819,179.755,-8.414347
178,1883362.5978932742,1.474866,-9.710368,0.3159102,179.808,-8.657001
179,1883362.6139175217,1.476987,-9.736688,0.33757,179.796,-8.619238
180,1883362.6299417692,1.487973,-9.769487,0.3677481,179.7793,-8.657729
181,1883362.645966017,1.514929,-9.733981,0.4332546,179.738,-8.857965
182,1883362.6619902644,1.534863,-9.715346,0.4247218,179.7422,-8.9838
183,1883362.678014512,1.532546,-9.683316,0.3678442,179.7753,-8.989019
184,1883362.6940387595,1.515077,-9.649945,0.3729303,179.7706,-8.90836
185,1883362.7100630072,1.461615,-9.618597,0.2570807,179.8409,-8.606152
186,1883362.7260872547,1.533841,-9.626236,0.2390314,179.8522,-9.096458
187,1883362.7421115022,1.556147,-9.616226,0.2005952,179.8757,-9.205758
188,1883362.7581357497,1.623021,-9.725118,0.1622751,179.9016,-9.504494
189,1883362.7741599975,1.606006,-9.770485,0.2769561,179.8338,-9.314883
190,1883362.790184245,1.636626,-9.775022,0.2474833,179.8516,-9.520836
191,1883362.8062084925,1.61814,-9.792712,0.3350368,179.7999,-9.363483
192,1883362.82223274,1.560267,-9.760005,0.4558409,179.7258,-9.038868
193,1883362.8382569877,1.530777,-9.761045,0.3731109,179.7757,-8.887873
194,1883362.8542812353,1.622639,-9.709434,0.4704222,179.7141,-9.540195
195,1883362.8703054828,1.698623,-9.650403,0.5749637,179.6462,-10.01986
196,1883362.8863297303,1.710531,-9.670358,0.6802282,179.5833,-10.01123
197,1883362.902353978,1.677245,-9.700365,0.6907547,179.5795,-9.760943
198,1883362.9183782255,1.689,-9.679664,0.7952368,179.5137,-9.874095
199,1883362.934402473,1.711724,-9.643116,0.7410416,179.5435,-10.05568
