,time_stamps,x_accel,y_accel,z_accel,pitch,roll
0,1886966.4815972282,8.01959,6.059943,-0.4606668,-0.7127024,-52.81818
1,1886966.4974110571,8.018322,6.042508,-0.4554751,-0.7085185,-52.92923
2,1886966.513224886,8.009577,6.064467,-0.4334082,-0.6693916,-52.78488
3,1886966.5290387147,7.991463,6.002019,-0.4893806,-0.7717237,-53.02266
4,1886966.5448525436,8.019819,6.021632,-0.5639308,-0.8831583,-52.97638
5,1886966.5606663725,8.035583,6.010664,-0.4787302,-0.7524244,-53.13129
6,1886966.5764802014,8.045779,6.003104,-0.4745197,-0.747705,-53.195
7,1886966.5922940304,7.997238,5.998038,-0.4719439,-0.7449772,-53.02879
8,1886966.608107859,7.955753,6.06433,-0.4566029,-0.705376,-52.55635
9,1886966.623921688,8.033486,6.062339,-0.4679975,-0.7232494,-52.90887
10,1886966.6397355169,8.04126,5.975949,-0.4195769,-0.6669255,-53.36281
11,1886966.6555493458,8.031263,5.930679,-0.4405922,-0.711235,-53.49917
12,1886966.6713631744,8.028109,5.9477,-0.5159564,-0.8280378,-53.35076
13,1886966.6871770034,8.045032,5.953712,-0.4847067,-0.7763774,-53.41088
14,1886966.7029908323,8.038105,6.008182,-0.4535696,-0.7136378,-53.11618
15,1886966.7188046612,8.056805,6.015784,-0.4332176,-0.6797936,-53.18528
16,1886966.735,7.976793,6.040246,-0.4807424,-0.7483628,-52.73385
17,1886966.7504323188,8.018353,6.006062,-0.4682566,-0.7371459,-53.11563
18,1886966.7662461477,7.983722,6.019881,-0.4476151,-0.7015406,-52.88753
19,1886966.7820599766,8.014735,6.036347,-0.5080395,-0.7918074,-52.9183
20,1886966.7978738055,7.901479,6.016446,-0.3912594,-0.613871,-52.62474
21,1886966.8136876344,8.071155,5.960586,-0.5067135,-0.8100909,-53.54253
22,1886966.829501463,7.989002,6.015334,-0.5117946,-0.803335,-52.86327
23,1886966.845315292,8.00018,6.00788,-0.4584332,-0.7212826,-53.02482
24,1886966.861129121,8.02931,6.050231,-0.4789544,-0.743078,-52.90425
25,1886966.8769429498,8.079628,6.037227,-0.4982448,-0.7762742,-53.16379
26,1886966.8927567787,8.056647,5.9562,-0.4506139,-0.7209742,-53.48102
27,1886966.9085706074,8.080207,5.9718,-0.4846368,-0.7714996,-53.44282
28,1886966.9243844363,8.000681,6.009991,-0.4729556,-0.7436595,-52.95241
29,1886966.9401982652,8.005657,5.998726,-0.4911805,-0.7751656,-53.07032
30,1886966.9560120942,8.040631,6.019148,-0.5598012,-0.8773515,-53.06313
31,1886966.9718259228,8.020427,5.993178,-0.4567695,-0.7219913,-53.16127
32,1886966.9876397518,8.07443,5.986272,-0.5240385,-0.8302952,-53.36346
33,1886967.0034535807,8.015187,6.030831,-0.4682766,-0.7313705,-52.91555
34,1886967.0192674096,7.994179,6.046061,-0.4864031,-0.7557638,-52.79407
35,1886967.0350812385,7.992078,5.993714,-0.4968349,-0.7854464,-53.06277
36,1886967.0508950672,7.994023,6.03804,-0.4827946,-0.7521875,-52.82666
37,1886967.066708896,8.004992,5.971364,-0.496474,-0.7907258,-53.22157
38,1886967.082522725,8.006088,6.059507,-0.5043063,-0.7801373,-52.73991
39,1886967.098336554,7.986805,6.053238,-0.4943156,-0.766262,-52.74579
40,1886967.1141503828,7.99565,6.06554,-0.4954713,-0.7649545,-52.72125
41,1886967.1299642115,8.015928,6.01721,-0.46542,-0.7299514,-53.05729
42,1886967.1457780404,8.000717,6.049008,-0.5033557,-0.7812651,-52.79002
43,1886967.1615918693,7.975494,6.058652,-0.4618989,-0.7147822,-52.68458
44,1886967.1774056982,8.022532,6.025141,-0.5051583,-0.7903545,-53.02904
45,1886967.1932195271,8.027236,5.991622,-0.5374965,-0.850267,-53.16905
46,1886967.2090333558,8.040635,5.99689,-0.4890155,-0.7721662,-53.19696
47,1886967.2248471847,8.024736,6.018964,-0.4496909,-0.704984,-53.03591
48,1886967.2406610136,8.036076,6.003933,-0.4586871,-0.7225991,-53.16735
49,1886967.2564748426,8.019971,6.000276,-0.4703607,-0.7418981,-53.10842
50,1886967.2722886712,8.024824,6.064553,-0.4585993,-0.7082878,-52.81219
51,1886967.2881025001,8.046858,6.042969,-0.4768162,-0.7415676,-53.02756
52,1886967.303916329,8.033978,5.986941,-0.5131144,-0.8130156,-53.22782
53,1886967.319730158,8.056392,6.030898,-0.4456364,-0.6959861,-53.09598
54,1886967.3355439869,7.929347,5.893078,-0.4216504,-0.6893478,-53.33329
55,1886967.3513578156,8.009298,6.002119,-0.5506935,-0.8673277,-53.00645
56,1886967.3671716445,7.987126,6.0475,-0.5528238,-0.8584945,-52.72237
57,1886967.3829854734,8.004302,6.052038,-0.5164056,-0.8007893,-52.81297
58,1886967.3987993023,8.012484,6.050336,-0.4869064,-0.7554526,-52.85925
