,time_stamps,x_accel,y_accel,z_accel,pitch,roll
0,1886283.1182299338,4.178706,-8.926398,0.9198709,179.3393,-24.95339
1,1886283.1342298496,4.139178,-8.97738,0.7944459,179.4357,-24.63431
2,1886283.150229765,4.176167,-8.932919,0.8314633,179.4036,-24.99422
3,1886283.1662296809,4.151853,-8.980186,0.8437842,179.4012,-24.68988
4,1886283.1822295967,4.136493,-8.989223,0.857945,179.3923,-24.59984
5,1886283.1982295122,4.171588,-9.022448,0.7343838,179.4836,-24.75594
6,1886283.214229428,4.147085,-8.961127,0.9116484,179.3501,-24.71902
7,1886283.2302293438,4.172647,-8.959305,0.8970531,179.3604,-24.87953
8,1886283.2462292593,4.170894,-8.98498,0.811557,179.4246,-24.80646
9,1886283.262229175,4.138397,-9.069428,0.7836145,179.4547,-24.40659
10,1886283.2782290906,4.167469,-9.036934,0.7441889,179.4785,-24.71004
11,1886283.2942290064,4.174686,-8.999207,0.6993055,179.5058,-24.8358
12,1886283.3102289222,4.171098,-8.976041,0.7163651,179.4911,-24.85826
13,1886283.3262288377,4.116869,-8.913391,0.7999526,179.4236,-24.68661
14,1886283.3422287535,4.135149,-8.950222,0.8621809,179.384,-24.69633
15,1886283.3582286693,4.128358,-9.033632,0.8770229,179.3849,-24.43264
16,1886283.3742285848,4.194478,-9.024734,0.8612688,179.3948,-24.86974
17,1886283.3902285006,4.244185,-9.019535,0.7778118,179.4528,-25.14985
18,1886283.4062284164,4.175893,-8.962992,0.7220609,179.4856,-24.88679
19,1886283.422228332,4.255255,-8.940099,0.8156056,179.416,-25.41107
20,1886283.4382282477,4.237334,-8.935654,0.8400436,179.3979,-25.26328
21,1886283.4542281635,4.192446,-8.958913,0.8597257,179.387,-24.94436
22,1886283.470228079,4.142707,-8.956929,0.9134087,179.3484,-24.67851
23,1886283.4862279948,4.154971,-8.956731,0.8433596,179.3983,-24.79886
24,1886283.5022279106,4.214377,-8.982568,0.7609373,179.4602,-25.08533
25,1886283.518227826,4.222472,-8.974377,0.6880517,179.5111,-25.14093
26,1886283.5342277419,4.203889,-9.025273,0.7777283,179.4536,-24.86823
27,1886283.5502276574,4.15678,-8.995886,0.8060889,179.4299,-24.69313
28,1886283.5662275732,4.188701,-8.949852,0.8003059,179.4282,-25.02417
29,1886283.582227489,4.174654,-8.98188,0.9074667,179.3563,-24.79771
30,1886283.5982274045,4.196952,-8.978618,0.9138732,179.3512,-24.95375
31,1886283.6142273203,4.227194,-8.982601,0.8390965,179.4048,-25.12412
32,1886283.630227236,4.232373,-8.916203,0.7734396,179.4433,-25.33258
33,1886283.6462271516,4.217808,-8.920337,0.7668739,179.4484,-25.21534
34,1886283.6622270674,4.209887,-8.927214,0.8265513,179.4064,-25.14538
35,1886283.6782269832,4.174618,-8.904199,0.8605312,179.3788,-25.00145
36,1886283.6942268987,4.255128,-8.940683,0.8316075,179.4046,-25.39284
37,1886283.7102268145,4.267488,-8.903392,0.8222507,179.4064,-25.53187
38,1886283.7262267303,4.219164,-8.908281,0.7502074,179.459,-25.23723
39,1886283.7422266458,4.220796,-8.91308,0.8464325,179.3902,-25.23772
40,1886283.7582265616,4.238198,-8.950191,0.7892568,179.4361,-25.25465
41,1886283.7742264774,4.198997,-8.912962,0.8805044,179.3656,-25.10336
42,1886283.790226393,4.179994,-8.969572,0.8982483,179.361,-24.85046
43,1886283.8062263087,4.169474,-9.093746,0.8806296,179.3904,-24.49216
44,1886283.8222262242,4.226601,-9.119091,0.8314625,179.4277,-24.80408
45,1886283.83822614,4.232314,-9.03328,0.8373198,179.4127,-25.03635
46,1886283.8542260558,4.198409,-9.005306,0.7969646,179.4376,-24.89895
47,1886283.8702259713,4.203638,-8.95295,0.8920491,179.363,-25.05715
48,1886283.886225887,4.236482,-8.98219,0.9726653,179.3101,-25.13119
49,1886283.902225803,4.263469,-9.006662,0.9484052,179.3309,-25.21906
50,1886283.9182257184,4.287715,-9.030657,0.8360853,179.4132,-25.31376
51,1886283.9342256342,4.238425,-9.017973,0.7537456,179.4696,-25.07353
52,1886283.95022555,4.267973,-8.977918,0.8424767,179.4018,-25.35414
53,1886283.9662254655,4.301095,-8.8554,0.8966003,179.3455,-25.84322
54,1886283.9822253813,4.289323,-8.804361,0.869691,179.358,-25.87337
55,1886283.998225297,4.270908,-8.863902,0.8648452,179.37,-25.59318
56,1886284.0142252126,4.286304,-8.92157,0.8557415,179.3847,-25.55263
57,1886284.0302251284,4.333095,-8.944575,0.8763789,179.3731,-25.76007
58,1886284.0462250442,4.309762,-8.918864,0.8999906,179.3525,-25.67016
59,1886284.0622249597,4.249249,-8.972317,0.8764943,179.3769,-25.18811
60,1886284.0782248755,4.309996,-8.969044,0.9366333,179.3337,-25.57918
61,1886284.094224791,4.344083,-8.942858,0.8736942,179.3748,-25.83033
62,1886284.1102247068,4.31086,-8.918693,0.8501621,179.3884,-25.68359
63,1886284.1262246226,4.337705,-8.944288,0.9038332,179.3535,-25.76472
64,1886284.1422245381,4.338234,-8.9253,0.9889271,179.2896,-25.78831
65,1886284.158224454,4.353371,-8.901854,0.904781,179.3466,-25.96212
66,1886284.1742243697,4.307479,-8.87796,0.8317229,179.3961,-25.76589
67,1886284.1902242852,4.272723,-8.890655,0.9041441,179.3454,-25.5277
68,1886284.206224201,4.35113,-8.947948,0.9135409,179.347,-25.84454
69,1886284.2222241168,4.320184,-8.921356,0.9661953,179.3053,-25.6958
70,1886284.2382240323,4.332173,-8.899303,0.9003531,179.3494,-25.85703
71,1886284.254223948,4.40017,-8.912183,0.8334349,179.3995,-26.2149
72,1886284.270223864,4.374648,-8.872529,0.7901118,179.4257,-26.15376
73,1886284.2862237794,4.337619,-8.85348,0.8396491,179.387,-25.98319
74,1886284.3022236952,4.331762,-8.808479,0.900627,179.3357,-26.07641
75,1886284.318223611,4.348414,-8.838456,0.8550101,179.3736,-26.0935
76,1886284.3342235265,4.332841,-8.878085,0.8482937,179.3841,-25.89177
77,1886284.3502234423,4.342058,-8.979013,0.8756342,179.3785,-25.67817
78,1886284.3662233579,4.340825,-8.95894,0.86113,179.386,-25.75329
79,1886284.3822232736,4.338546,-8.950467,0.8445961,179.3967,-25.7627
80,1886284.3982231894,4.344783,-8.949619,0.8838835,179.3685,-25.78889
81,1886284.414223105,4.31955,-8.927987,0.9438366,179.3223,-25.68374
82,1886284.4302230207,4.385979,-8.936598,0.8938075,179.3595,-26.06566
83,1886284.4462229365,4.347372,-8.918066,0.9814603,179.2938,-25.83293
84,1886284.462222852,4.35213,-8.961464,0.8781769,179.3741,-25.78961
85,1886284.4782227678,4.380618,-8.976577,0.8118242,179.4234,-25.93451
86,1886284.4942226836,4.385622,-8.855266,0.7707124,179.4376,-26.29958
87,1886284.5102225991,4.362419,-8.804348,0.9023525,179.3338,-26.23597
88,1886284.526222515,4.379492,-8.91346,0.8896591,179.3591,-26.03398
89,1886284.5422224307,4.400592,-8.885586,0.935795,179.3217,-26.24004
90,1886284.5582223462,4.310047,-8.822464,0.8714556,179.3594,-25.89429
91,1886284.574222262,4.389338,-8.816152,0.8779504,179.3536,-26.40227
92,1886284.5902221778,4.361214,-8.990426,0.8150987,179.4228,-25.78736
93,1886284.6062220933,4.331966,-9.00102,0.889553,179.3717,-25.57005
94,1886284.622222009,4.322577,-8.922354,0.8388193,179.3971,-25.76752
95,1886284.6382219247,4.306555,-8.841225,0.8703772,179.3627,-25.87462
96,1886284.6542218404,4.3265,-8.826647,0.9252477,179.3204,-26.00292
97,1886284.6702217562,4.328495,-8.859666,0.8380792,179.3889,-25.93205
98,1886284.6862216718,4.289908,-8.918991,0.8379814,179.3971,-25.55004
99,1886284.7022215875,4.346384,-8.929234,0.8918412,179.3599,-25.87129
100,1886284.7182215033,4.336948,-8.962581,0.9230845,179.3424,-25.68833
101,1886284.7342214189,4.346778,-8.903426,0.8680298,179.3734,-25.93923
102,1886284.7502213346,4.302511,-8.85657,0.8668339,179.3676,-25.79066
103,1886284.7662212504,4.339025,-8.847575,0.9055003,179.338,-26.02894
104,1886284.782221166,4.370688,-8.889771,0.9416886,179.3181,-26.06018
105,1886284.7982210817,4.343688,-8.932776,0.9517719,179.3174,-25.77735
106,1886284.8142209975,4.317285,-8.904755,0.8644341,179.3762,-25.755
107,1886284.830220913,4.284478,-8.936429,0.840617,179.3976,-25.48962
108,1886284.8462208288,4.3049,-8.943907,0.88995,179.3633,-25.60077
109,1886284.8622207446,4.302632,-8.976976,0.9573719,179.3202,-25.46991
110,1886284.8782206601,4.369204,-8.993212,0.8693038,179.3849,-25.84333
111,1886284.894220576,4.324146,-8.949585,0.9229856,179.3405,-25.65433
112,1886284.9102204915,4.334724,-8.910746,0.9240442,179.334,-25.83757
113,1886284.9262204072,4.357329,-8.943493,0.9349239,179.3311,-25.85686
114,1886284.942220323,4.361745,-8.87997,0.817499,179.4068,-26.08762
115,1886284.9582202386,4.370806,-8.890855,0.8811738,179.3621,-26.06873
116,1886284.9742201543,4.369557,-8.879015,0.9177082,179.3339,-26.08394
117,1886284.9902200701,4.375896,-8.869212,0.8524087,179.3799,-26.16463
118,1886285.0062199857,4.370066,-8.868232,0.8846647,179.3563,-26.11675
119,1886285.0222199014,4.403959,-8.868134,0.8598783,179.3743,-26.32274
120,1886285.0382198172,4.39011,-8.863814,0.8444709,179.3849,-26.23936
121,1886285.0542197328,4.416738,-8.897859,0.933431,179.3254,-26.27735
122,1886285.0702196485,4.343983,-8.89049,0.9617201,179.3037,-25.86865
123,1886285.0862195643,4.317315,-8.924229,0.8999056,179.3533,-25.68011
124,1886285.1022194799,4.355589,-8.990091,0.9001884,179.3626,-25.74145
125,1886285.1182193956,4.329249,-8.934189,0.8657402,179.3793,-25.74977
126,1886285.1342193114,4.343853,-8.874729,0.8299736,179.397,-26.0077
127,1886285.150219227,4.341004,-8.847236,0.8134683,179.4053,-26.04671
128,1886285.1662191427,4.364422,-8.844486,0.8419847,179.3841,-26.17571
129,1886285.1822190583,4.368918,-8.826973,0.8556103,179.3716,-26.23397
130,1886285.198218974,4.358594,-8.840305,0.9129972,179.3315,-26.11324
131,1886285.2142188898,4.392038,-8.880425,0.9101167,179.3396,-26.20511
132,1886285.2302188054,4.37168,-8.927532,0.8904355,179.3606,-25.95425
133,1886285.2462187211,4.350251,-8.932243,0.8755387,179.372,-25.84649
134,1886285.262218637,4.356728,-8.919786,0.8115604,179.4163,-25.94825
135,1886285.2782185525,4.344446,-8.933622,0.7986983,179.4273,-25.83362
136,1886285.2942184682,4.353992,-8.95009,0.739233,179.4719,-25.86747
137,1886285.310218384,4.37434,-8.981904,0.8130133,179.4233,-25.87596
138,1886285.3262182996,4.326815,-8.963538,0.813927,179.4203,-25.65294
139,1886285.3422182153,4.358693,-8.87551,0.8334114,179.3945,-26.09851
140,1886285.3582181311,4.361881,-8.855933,0.9107772,179.3354,-26.1078
141,1886285.3742180467,4.360045,-8.929393,0.8646442,179.3794,-25.89987
142,1886285.3902179624,4.3771,-8.936739,0.879424,179.3699,-25.99344
143,1886285.4062178782,4.342174,-8.926699,0.8593542,179.3829,-25.81889
144,1886285.4222177938,4.310669,-8.917076,0.9263001,179.3333,-25.6622
145,1886285.4382177095,4.346305,-8.875174,0.8963635,179.3488,-26.01014
146,1886285.454217625,4.360642,-8.858054,0.970942,179.2919,-26.08553
147,1886285.4702175409,4.379314,-8.854187,0.9202208,179.3283,-26.20838
148,1886285.4862174566,4.329467,-8.922753,0.9086843,179.3468,-25.72021
149,1886285.5022173722,4.356804,-8.93392,0.8299584,179.4049,-25.91485
150,1886285.518217288,4.344454,-8.904869,0.8522529,179.3849,-25.90413
151,1886285.5342172037,4.341064,-8.880417,0.8027676,179.4175,-25.9653
152,1886285.5502171193,4.34719,-8.886591,0.817212,179.4078,-25.97353
153,1886285.566217035,4.304707,-8.925994,0.7647869,179.4506,-25.63038
154,1886285.5822169508,4.365102,-8.932089,0.8888313,179.3625,-25.963
155,1886285.5982168664,4.347439,-8.904686,0.8516758,179.3853,-25.91826
156,1886285.6142167822,4.315506,-8.850231,0.8350316,179.3899,-25.89185
157,1886285.630216698,4.323086,-8.90081,0.8419863,179.3918,-25.79564
158,1886285.6462166135,4.347547,-8.948964,0.8836226,179.3686,-25.80173
159,1886285.6622165293,4.347838,-8.893445,0.7692732,179.4435,-25.98743
160,1886285.678216445,4.3177,-8.939608,0.7966243,179.4296,-25.66047
161,1886285.6942163606,4.323306,-8.94207,0.8790863,179.3709,-25.69529
162,1886285.7102162763,4.33033,-8.933697,0.9045708,179.3514,-25.75146
163,1886285.726216192,4.309485,-8.868217,0.8683331,179.3682,-25.81718
164,1886285.7422161077,4.322484,-8.926311,0.9142694,179.3434,-25.71123
165,1886285.7582160234,4.293617,-8.934276,0.8994699,179.3551,-25.53687
166,1886285.774215939,4.29073,-8.939382,0.8311918,179.4048,-25.5427
167,1886285.7902158548,4.290442,-8.918344,0.8997813,179.3526,-25.58185
168,1886285.8062157705,4.299032,-8.911931,0.8463064,179.3902,-25.65985
169,1886285.822215686,4.327903,-8.885432,0.9400789,179.3186,-25.86564
170,1886285.8382156019,4.317862,-8.906486,0.8589553,179.3803,-25.75065
171,1886285.8542155176,4.33625,-8.910746,0.820676,179.4085,-25.86432
172,1886285.8702154332,4.348863,-8.932718,0.8103837,179.4188,-25.86809
173,1886285.886215349,4.319957,-8.928452,0.8524502,179.388,-25.70126
174,1886285.9022152647,4.28259,-8.92587,0.8846689,179.3645,-25.50064
175,1886285.9182151803,4.26377,-8.957934,0.8254022,179.4113,-25.34137
176,1886285.934215096,4.279126,-8.926664,0.7957729,179.4285,-25.54134
177,1886285.9502150118,4.2979,-8.986026,0.8790011,179.3771,-25.44756
178,1886285.9662149274,4.329945,-8.955331,0.9045623,179.3545,-25.71634
179,1886285.9822148432,4.326684,-8.91563,0.8575584,179.3826,-25.79383
180,1886285.9982147587,4.330668,-8.91597,0.8248459,179.4062,-25.81401
181,1886286.0142146745,4.311674,-8.909539,0.8840633,179.3626,-25.70344
182,1886286.0302145903,4.335631,-8.91536,0.9158424,179.3406,-25.82732
183,1886286.0462145058,4.286313,-8.883621,0.9448777,179.3148,-25.61055
184,1886286.0622144216,4.309393,-8.910614,0.9068404,179.3464,-25.70097
185,1886286.0782143374,4.311701,-8.94779,0.9159654,179.3453,-25.60245
186,1886286.094214253,4.331325,-8.951508,0.8802465,179.3713,-25.72402
187,1886286.1102141687,4.378538,-8.954034,0.8659008,179.3819,-25.98031
188,1886286.1262140844,4.32077,-8.937048,0.8860139,179.3651,-25.66348
189,1886286.142214,4.314993,-8.875015,0.9246567,179.3281,-25.82019
190,1886286.1582139158,4.344583,-8.883896,0.9328304,179.3236,-25.95106
191,1886286.1742138315,4.356161,-8.82014,0.8345279,179.3862,-26.21037
192,1886286.190213747,4.350854,-8.843932,0.9065793,179.3367,-26.06504
193,1886286.2062136629,4.369717,-8.90449,0.9202488,179.3358,-26.01204
194,1886286.2222135786,4.3479,-8.936402,0.8397341,179.3982,-25.82645
195,1886286.2382134942,4.354338,-8.954679,0.8790877,179.3726,-25.82166
196,1886286.25421341,4.350672,-8.900481,0.8851778,179.3606,-25.95174
197,1886286.2702133255,4.343841,-8.910145,0.8082148,179.4174,-25.89295
198,1886286.2862132413,4.362551,-8.902492,0.8091375,179.4158,-26.02643
199,1886286.302213157,4.323481,-8.910346,0.8135394,179.4136,-25.76548
200,1886286.3182130726,4.377753,-8.872345,0.8656944,179.3706,-26.19537
201,1886286.3342129884,4.385335,-8.877164,0.8170403,179.4067,-26.19788
202,1886286.3502129042,4.330069,-8.957374,0.9285332,179.3379,-25.62282
203,1886286.3662128197,4.369792,-8.877048,0.8427173,179.3882,-26.15509
204,1886286.3822127355,4.378075,-8.899182,0.9095531,179.3428,-26.07443
205,1886286.3982126513,4.372438,-8.873384,0.8580575,179.3764,-26.13201
206,1886286.4142125668,4.346017,-8.855721,0.8701462,179.365,-26.02053
207,1886286.4302124826,4.369233,-8.84749,0.9252246,179.3236,-26.17251
208,1886286.4462123984,4.436198,-8.850977,0.9285776,179.3217,-26.53234
209,1886286.462212314,4.429965,-8.94398,0.8901269,179.3632,-26.20869
210,1886286.4782122297,4.416414,-8.869245,0.8539601,179.3788,-26.37991
211,1886286.4942121455,4.404284,-8.889783,0.8611173,179.3765,-26.23609
212,1886286.510212061,4.37075,-8.85736,0.9049287,179.3399,-26.13515
213,1886286.5262119768,4.410492,-8.877821,0.8683689,179.3695,-26.32762
214,1886286.5422118923,4.349823,-8.966058,0.8819512,179.3722,-25.71247
215,1886286.558211808,4.348065,-8.966263,0.8574522,179.3896,-25.76776
216,1886286.5742117239,4.386676,-8.880092,0.8894788,179.3544,-26.22103
